"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 12:18:42 IST 2025","Wed Jul 30 12:24:09 IST 2025","327444","","test_Suite_Controller","TestSuiteController","","","test_run_full_suite_for_customer[lmqatesting1]",""
"passed","Wed Jul 30 12:24:15 IST 2025","Wed Jul 30 12:30:07 IST 2025","352254","","test_Suite_Controller","TestSuiteController","","","test_run_full_suite_for_customer[lmpresales]",""
